Código,Epíca,Historia de Usuario,Criterio de Aceptación 1,Criterio de Aceptación 2,Criterio de Aceptación 3,Criterio de Aceptación 4,Criterio de Aceptación 5,Criterio de Aceptación 6,Criterio de Aceptación 7,Criterio de Aceptación 8,Criterio de Aceptación 9,Criterio de Aceptación 10,Criterio de Aceptación 11,Sprint,Estado
HU23,Reportes y dashboard,"Como administrador quiero disponer de un dashboard con métricas clave (pedidos del día, facturación, clientes activos, etc.) para tener una visión rápida del estado del negocio.","Dado que el administrador accede a GET /admin/dashboard con JWT válido
Cuando el frontend consulta el endpoint correspondiente
Entonces el backend responde con HTTP 200 y un JSON que incluye: totalPedidosHoy, facturacionHoy, clientesActivosHoy, productosMasVendidos","Dado que se recibe el JSON con métricas
Cuando el componente DashboardMetrics se monta en el DOM
Entonces la interfaz renderiza tarjetas con íconos y cifras destacadas para cada métrica clave del día","Dado que el dashboard está visible en pantalla
Cuando pasan 5 minutos desde la última consulta
Entonces el sistema reenvía la solicitud al endpoint y actualiza las tarjetas con los nuevos valores","Dado que un usuario sin rol admin intenta acceder a /admin/dashboard
Cuando la API detecta el rol no autorizado
Entonces responde con HTTP 403 Forbidden y el mensaje: “No tienes permisos para ver esta sección”","Dado que hay un fallo en la consulta al endpoint de métricas (por ejemplo, error 500 en backend)
Cuando el frontend intenta renderizar los datos
Entonces muestra un mensaje de error: “No se pudieron cargar las métricas. Intenta nuevamente más tarde” y ofrece botón “Reintentar”","Dado que ocurre un fallo en la ejecución del endpoint /api/admin/dashboard
Cuando se lanza una excepción en el servidor
Entonces se guarda en el log de errores { timestamp, adminId, endpoint, errorMessage, stackTrace } y se dispara una alerta al canal de monitoreo interno","Dado que el componente DashboardMetrics falla en obtener los datos (por error de red u otro)
Cuando no se recibe respuesta válida en 3 segundos
Entonces el sistema realiza hasta 2 reintentos automáticos con backoff exponencial antes de mostrar el mensaje de error al usuario",,,,,4,Do 
HU24,,Como cliente quiero que el chatbot responda a consultas estándar en menos de 2 s el 95 % de las veces para recibir respuestas rápidas y fluidas.,"Dado que <Chatbot /> está conectado vía WebSocket (readyState === 1) y el usuario ingresa una consulta marcada como “estándar” (por ejemplo, FAQ)
Cuando el cliente envía el mensaje al servidor (socket.send({ message }))
Entonces el servidor devuelve la respuesta en menos de 2000 ms, y el cliente la renderiza en la interfaz en formato de burbuja de chat","Dado que se ejecutan 100 peticiones consecutivas de prueba al chatbot en un entorno de QA
Cuando el script de prueba registra los tiempos de respuesta de cada consulta
Entonces al menos 95 de las respuestas deben tener latency < 2000 ms; de lo contrario, el test falla","Dado que cada respuesta incluye un timestamp de envío y de recepción
Cuando se procesa la respuesta en el cliente
Entonces se registra en la tabla performance_logs un objeto { component:""Chatbot"", latency, timestamp } para cada interacción","Dado que al final de cada día el sistema agrupa las entradas de performance_logs del chatbot
Cuando el porcentaje de respuestas con latency ≥ 2000 ms supere el 5 %
Entonces se envía un correo automático al equipo de DevOps con asunto “Alerta SLA Chatbot: Latencias altas” y detalles del porcentaje y horarios afectados","Dado que una respuesta demora más de 2000 ms y readyState === 1
Cuando el cliente detecta latency ≥ 2000 ms
Entonces vuelve a enviar la misma consulta hasta 2 veces en cola, manteniendo la interfaz informada (“Reintentando…”), y reporta cada intento en performance_logs","Dado que el WebSocket emite onerror o onclose durante una consulta estándar
Cuando ocurre el fallo
Entonces el cliente muestra “Error de conexión. Reintentando…” e intenta reconectar hasta 3 veces con backoff exponencial; si no logra reconectar, muestra “Chatbot no disponible” en el área de chat","Dado que tras los reintentos el chatbot no responde en tiempo o conexiona falla
Cuando el cliente detecta que no se cumple latency < 2000 ms tras reintentos
Entonces despliega un enlace o botón “Contactar por WhatsApp” o “Enviar mensaje” para atención humana y registra el evento en notification_errors",,,,,5,Do 
HU25,Compatibilidad y portabilidad,"Como usuario quiero que el sitio funcione sin errores en las últimas dos versiones de Chrome, Firefox, Edge y Safari para navegar en mi navegador preferido con total compatibilidad.","Dado que el usuario utiliza Chrome en la versión más reciente o la anterior
Cuando accede a /home
Entonces la petición retorna HTTP 200, el evento DOMContentLoaded se dispara sin errores, y la consola de desarrollo no muestra entradas console.error ni console.warn.","Dado que el usuario utiliza Firefox en la versión más reciente o la anterior
Cuando accede a /home
Entonces la petición retorna HTTP 200, el DOM se renderiza correctamente y no aparecen errores en la consola.","Dado que el usuario utiliza Edge en la versión más reciente o la anterior
Cuando accede a /home
Entonces la página carga sin fallos de estilo ni funcionalidad, y no se registran errores en consola.","Dado que el usuario utiliza Safari en la versión más reciente o la anterior
Cuando accede a /home
Entonces todos los elementos (menú, banners y footer) se muestran correctamente sin errores en consola ni en el inspector de redes.","Dado que un usuario no autenticado abre /login en Chrome, Firefox, Edge o Safari
Cuando ingresa credenciales válidas y hace clic en “Iniciar sesión”
Entonces recibe HTTP 200, se almacena el JWT, se redirige a /mi-cuenta y la UI muestra “Bienvenido” sin diferencias entre navegadores.","Dado que el usuario ha iniciado sesión y está en /catalogo en cualquiera de los cuatro navegadores
Cuando busca “maniquí” y añade el primer producto al carrito
Entonces la API retorna HTTP 200, el contador del carrito incrementa y el ítem aparece en /carrito de forma idéntica en cada navegador.","Dado que el usuario navega por /catalogo en cualquier navegador
Cuando inspecciona el layout con herramientas de desarrollo
Entonces no hay elementos fuera de su contenedor ni barras de scroll horizontales inesperadas en las últimas dos versiones de cada navegador.","Dado que el navegador no implementa una API moderna usada por el sitio (por ejemplo Intl.DateTimeFormat)
Cuando se invoca la función correspondiente en la UI
Entonces el cliente aplica un polyfill y la funcionalidad se ejecuta correctamente sin errores en consola.","Dado que el pipeline de CI incluye un job de UI tests con BrowserStack o Selenium
Cuando se ejecutan pruebas en las últimas dos versiones de Chrome, Firefox, Edge y Safari
Entonces todos los casos de prueba (navegación, login, búsqueda, carrito) deben pasar; de lo contrario, el job falla e impide el merge.","Dado que se identifica un error reproducible en alguno de los navegadores soportados
Cuando se registra el incidente en el sistema de logs (compatibility_errors)
Entonces se envía un correo al equipo de desarrollo con { browser, version, route, errorStack, timestamp } para su corrección.",,6,Do 
HU26,Usabilidad y Accesibilidad,Como usuario con discapacidad quiero que el sitio cumpla WCAG 2.1 nivel AA para navegar sin barreras de accesibilidad.,"Dado que el usuario accede a cualquier página (/home, /catalogo, etc.)
Cuando presiona la tecla Tab en el primer foco de la página
Entonces el foco llega al enlace <a href=""#mainContent"" class=""skip-link"">Ir al contenido</a>, y al activarlo (Enter) el foco salta al contenedor <main id=""mainContent"">","Dado que el usuario navega con teclado (Tab, Shift+Tab, Enter, Space)
Cuando recorre los elementos interactivos (botones, enlaces, formularios)
Entonces todos son accesibles (tabindex=""0"" o enfoque natural), y cada foco está resaltado con un contorno visible (contrast ratio ≥ 3:1)","Dado que la página muestra imágenes informativas (<img> dentro de <ProductCard />, logos, iconos de acción)
Cuando el DOM carga
Entonces cada <img> incluye atributo alt descriptivo no vacío (alt=""Foto del maniquí modelo X"") y las imágenes puramente decorativas tienen alt="""" y role=""presentation""","Dado que el CSS aplica estilos de texto y fondo en todos los componentes
Cuando el usuario inspecciona con herramienta de medición de contraste
Entonces todo texto normal (≤ 18 px) cumple ratio de contraste ≥ 4.5:1 y texto grande (≥ 18 px pero < 24 px) ≥ 3:1 según WCAG 2.1 AA","Dado que existen formularios (#registrationForm, #loginForm, etc.)
Cuando el lector de pantalla (NVDA, JAWS) recorre los campos
Entonces cada <input> y <select> tiene un <label for=""…""> correctamente asociado o aria-label, y los mensajes de error inline usan aria-live=""assertive""","Dado que el usuario envía un formulario o interactúa con acciones AJAX
Cuando el sistema muestra un spinner o error
Entonces el spinner tiene aria-busy=""true"" sobre el contenedor, y los mensajes de error se actualizan en un <div role=""alert"" aria-live=""polite"">","Dado que cada página usa encabezados (<h1>, <h2>, …) para estructurar el contenido
Cuando el lector de pantalla navega por encabezados (h + número)
Entonces la jerarquía es correcta (solo un <h1> por página, <h2> para subsecciones) y refleja la estructura visual","Dado que existen componentes personalizados (tabs, modales, selectores de estado)
Cuando el usuario interactúa (clic, teclado)
Entonces cada componente tiene atributos ARIA adecuados (role=""tablist"", aria-selected, aria-expanded) para transmitir su estado al lector de pantalla","Dado que CSS o JavaScript no se cargan (error 404/timeout)
Cuando document.styleSheets.length === 0 o window.jQuery es undefined
Entonces la página muestra contenido en una sola columna, los enlaces y formularios siguen operativos nativamente, y un banner notifica “Modo accesible básico activado”",,,1,Do 
HU27,Rendimiento y Escalabilidad,Como desarrollador quiero que el servidor API responda en menos de 500 ms el 95 % de las veces para asegurar un backend eficiente.,"Dado que el entorno de QA está configurado para simular 100 peticiones concurrentes a GET /api/health
Cuando el script de prueba emite las 100 solicitudes en ráfaga
Entonces al menos 95 respuestas retornan HTTP 200 en < 500 ms","Dado que el endpoint GET /api/products se utiliza para poblar el catálogo
Cuando se ejecutan 100 peticiones consecutivas a ese endpoint
Entonces ≥ 95 respuestas retornan HTTP 200 y payload completo en < 500 ms","Dado que cualquier endpoint recibe una petición HTTP
Cuando la respuesta se envía
Entonces el servidor registra en la tabla performance_logs un registro { route, statusCode, latencyMs, timestamp }","Dado que al final de cada hora el sistema agrupa las latencias registradas
Cuando > 5 % de las solicitudes a cualquier endpoint clave superan 500 ms
Entonces se dispara una alerta ALERT_PERFORMANCE_SLA y se notifica al canal de DevOps con estadísticas de latencia por ruta","Dado que se activa el pipeline de CI en la rama main
Cuando el job de rendimiento ejecuta el test de 100 peticiones para /api/health y /api/products
Entonces el job falla si < 95 respuestas cumplen el umbral de < 500 ms y bloquea el merge","Dado que una petición a cualquier endpoint clave excede 500 ms en producción
Cuando se detecta en tiempo real (instrumentación APM)
Entonces el servidor añade un encabezado X-Warning: SlowResponse en la respuesta y registra el evento en performance_errors","Dado que se despliega una mejora de código en producción
Cuando se ejecuta el test de carga manual o automático sobre los endpoints definidos
Entonces ≥ 95 peticiones de 100 siguen completándose en < 500 ms, validando la efectividad del cambio","Dado que una llamada interna (p. ej. base de datos) excede su propio timeout configurado (p. ej. 400 ms)
Cuando el servidor no puede procesar dentro de ese plazo
Entonces responde HTTP 504 Gateway Timeout al cliente, registra { route, timeoutSource, timestamp } en performance_errors y no bloquea hilos en espera",,,,7,Do 
HU28,Seguridad y privacidad,Como usuario quiero que el chatbot cifre toda la comunicación con TLS 1.3 y cumpla la Ley 1581/2012 de protección de datos para proteger mi información personal.,"Dado que el usuario hace clic en “Chatbot” y <Chatbot /> intenta abrir la conexión
Cuando se invoca new WebSocket(""wss://api.juangel.com/chat"")
Entonces la negociación TLS se forza a la versión 1.3, y la conexión se establece solo si el protocolo acordado es TLS 1.3","Dado que el servidor y cliente soportan múltiples versiones de TLS
Cuando la negociación TLS intenta usar TLS 1.2 o inferior
Entonces la conexión se cierra inmediatamente con código de cierre WebSocket 1002 y el cliente muestra “Error de seguridad: protocolo TLS no soportado”","Dado que el certificado del servidor TLS es inválido, caducado o no coincide con el dominio
Cuando el cliente detecta la anomalía durante el handshake
Entonces se cancela la conexión, se muestra “Error de seguridad: certificado no válido” y no se permite reenviar mensajes","Dado que el usuario carga <Chatbot /> por primera vez en la sesión
Cuando el componente monta
Entonces se despliega un modal con el texto de la Política de protección de datos (Ley 1581/2012) y un botón “Acepto” que bloquea el chat hasta la aceptación","Dado que el usuario pulsa “Acepto” en el modal de privacidad
Cuando el cliente envía POST /api/chatbot/consent con { userId, consent: true, timestamp }
Entonces la API responde HTTP 200 y el log consent_logs almacena la entrada para auditoría","Dado que la conexión WebSocket está establecida con TLS 1.3
Cuando el usuario envía un mensaje al chatbot
Entonces cada payload JSON se transmite cifrado en el canal WSS y no puede ser inspeccionado en texto plano","Dado que <Chatbot /> registra eventos en chatbot_logs (mensaje enviado, respuesta recibida)
Cuando el cliente envía datos de log (POST /api/chatbot/log)
Entonces el payload omite campos sensibles (email, nombre) y solo incluye un identificador anónimo (userHash) y la marca de tiempo","Dado que ocurre un error interno de cifrado (p. ej. librería TLS falla)
Cuando el cliente detecta onerror durante socket.send()
Entonces muestra “Error de seguridad al enviar tu mensaje. Inténtalo de nuevo.” y no revela ni reintenta sin una nueva negociación TLS","Dado que cualquiera de los pasos de seguridad (handshake TLS, certificado, cifrado, anonimización) falla
Cuando se detecta el incidente
Entonces el cliente envía un evento a security_incidents con { component:""chatbot"", errorType, timestamp } y despliega un banner discreto “Incidente de seguridad registrado. Por favor, contacta soporte.”",,,3,Do 
HU29,Disponibilidad,Como administrador del sistema quiero que toda la plataforma esté disponible al menos el 99.9 % del tiempo mensual para garantizar la continuidad.,"Dado que el sistema está operando normalmente
Cuando un monitor de disponibilidad realiza una verificación periódica (cada minuto) a los servicios críticos del sistema
Entonces el servicio responde con HTTP 200 OK indicando que la plataforma está disponible.","Dado que un componente del sistema (base de datos, API, servidor web) está fuera de servicio
Cuando el monitoreo detecta una respuesta de error (código HTTP ≥ 500 o timeout)
Entonces el sistema registra un evento de caída en el log de monitoreo y emite una alerta para el equipo de operaciones.","Dado que un componente crítico del sistema se cae (ej., servidor web)
Cuando el sistema de recuperación automática detecta el fallo
Entonces se inicia un proceso de reinicio del componente afectado y, si la recuperación es exitosa, se envía una notificación de restablecimiento.","Dado que el sistema está inactivo por más de 15 minutos
Cuando el monitoreo detecta la inactividad
Entonces el sistema envía un correo de alerta al administrador con detalles sobre el fallo y la duración del tiempo de inactividad.","Dado que se requiere realizar mantenimiento programado que puede afectar la disponibilidad del sistema
Cuando se planifica el mantenimiento a través del sistema de gestión
Entonces el sistema envía una notificación con 24 horas de anticipación a los usuarios sobre la ventana de mantenimiento y posibles tiempos de inactividad.","Dado que el sistema ha estado operando durante todo el mes
Cuando se calcula la disponibilidad mensual a través de métricas automáticas
Entonces la plataforma debe cumplir con un uptime mínimo del 99.9% (lo que equivale a no más de 43.2 minutos de inactividad mensual).","Dado que el cálculo de disponibilidad mensual detecta que el uptime es inferior al 99.9%
Cuando se registre una caída que supera el límite de tiempo (más de 43.2 minutos)
Entonces el sistema genera una alerta interna y un informe detallado de las causas de la inactividad.","Dado que el sistema de monitoreo no puede acceder a los endpoints de verificación (por error en la red o sistema de monitoreo)
Cuando se detecta un fallo en la verificación de estado del sistema
Entonces el sistema reintenta la verificación automáticamente hasta 3 veces en intervalos de 1 minuto. Si falla, emite una alerta al equipo de operaciones.","Dado que el sistema experimenta tiempos de inactividad, ya sea planificada o no planificada
Cuando la inactividad excede el tiempo permitido (más de 43.2 minutos en el mes)
Entonces se registra un evento detallado en los logs de auditoría con el motivo de la inactividad, la duración y los pasos de recuperación.",,,6,Do 
HU30,,Como usuario quiero que cualquier página cargue en menos de 3 s con conexión de 10 Mbps para navegar sin demoras.,"Dado que el usuario abre la aplicación en un entorno con ancho de banda simulado de 10 Mbps (p. ej. mediante herramientas de test o CDN configurado)
Cuando la página /home emite el evento DOMContentLoaded
Entonces el cliente calcula loadTime = timestamp_DOMContentLoaded – timestamp_navigationStart y verifica que loadTime < 3000 ms","Dado que el usuario navega a /catalogo tras haber cargado /home
Cuando el componente dispara GET /api/products y emite DOMContentLoaded de la nueva ruta
Entonces el cliente registra en performance_logs el loadTime y asegura que sea < 3000 ms","Dado que el usuario hace clic en “Ver detalles” de un producto y navega a /productos/{id}
Cuando se dispara DOMContentLoaded en esa ruta
Entonces el cliente guarda en performance_logs el loadTime y verifica que < 3000 ms","Dado que cualquier página (/home, /catalogo, /productos/{id}) tarda ≥ 3000 ms en DOMContentLoaded
Cuando se detecta loadTime >= 3000 ms
Entonces el cliente envía un registro a performance_logs con { route, loadTime, timestamp, connection:""10Mbps"" } y emite un evento interno performance:slow_page","Dado que en un mes se registran ≥ 5 incidencias de páginas que tardan ≥ 3000 ms
Cuando el backend procesa los logs mensuales
Entonces envía un correo a devteam@example.com con el resumen de rutas afectadas y tiempos medios de carga","Dado que la carga de algún recurso crítico (CSS/JS/api) falla o excede timeout (p. ej. 10 s)
Cuando ocurre fetch o carga de script con error o timeout
Entonces la UI muestra un mensaje “Error al cargar contenido. Intenta recargar la página.” y registra { resource, route, errorType } en performance_errors",,,,,,5,Do 
HU31,Comunicación y soporte,"Como cliente quiero un chatbot que responda FAQs sobre productos, servicios y estado de mis pedidos en tiempo real para obtener asistencia inmediata.","Dado que estoy autenticado o como invitado en cualquier ruta y el componente <Chatbot /> está presente con visible = false
Cuando hago clic en el botón “Chatbot” (onClick en <button id=""openChatbot"">)
Entonces <Chatbot /> cambia a visible = true, abre conexión WebSocket a wss://api.juangel.com/chat y muestra el área de mensajes e input vacío","Dado que <Chatbot /> inicia la conexión WebSocket
Cuando el socket emite el evento onopen
Entonces la UI muestra el mensaje del sistema “¿En qué puedo ayudarte hoy?” en el área de chat","Dado que <Chatbot /> está conectado y existe una FAQ para “¿Cuáles son sus productos disponibles?”
Cuando envío el mensaje exactamente “¿Cuáles son sus productos disponibles?” (evento onSubmit)
Entonces el cliente envía { message: ""¿Cuáles son sus productos disponibles?"" } vía WebSocket, recibe en < 2 s { answer } y lo renderiza en burbuja de respuesta","Dado que la base de FAQs contiene una entrada para “¿Ofrecen reparación de maniquíes?”
Cuando envío “¿Ofrecen reparación de maniquíes?”
Entonces en < 2 s aparece la respuesta predefinida formateada en <p>{answer}</p>","Dado que el usuario tiene sesión activa y el WebSocket ha recibido su userId
Cuando envío “Estado de mi pedido 123”
Entonces el backend valida orderId=123, devuelve { answer: ""Su pedido 123 está en Enviado"" } y el cliente muestra ese texto en < 2 s","Dado que envío una pregunta no contemplada en la base de FAQs ({ answer: null })
Cuando el servidor retorna { answer: null } con HTTP 200
Entonces la UI muestra “Lo siento, no puedo responder a eso por ahora.” y mantiene la sesión de chat abierta","Dado que he enviado cualquier mensaje al chatbot
Cuando recibo la respuesta del servidor
Entonces el cliente mide latency = timestamp_response - timestamp_request y guarda { component: ""Chatbot"", latency } en performance_logs, comprobando que latency < 2000 ms","Dado que el WebSocket ha sufrido un fallo (onerror o onclose)
Cuando <Chatbot /> detecta el error de conexión
Entonces la UI muestra “Error de chat. Verifica tu conexión.” y socket.reconnect() tras 5 s","Dado que <Chatbot /> está visible en pantalla
Cuando hago clic en el icono “Cerrar” (onClick en <button id=""closeChatbot"">)
Entonces <Chatbot /> cambia a visible = false, cierra la conexión WebSocket (socket.close()) y conserva la sesión del usuario",,,5,Do 
HU32,Disponibilidad,"Como cliente quiero que el chatbot esté disponible al menos el 99.5 % del tiempo mensual, incluidos fines de semana y festivos para recibir asistencia en cualquier momento.","Dado que el chatbot está operativo
Cuando el sistema de monitoreo realiza una petición de prueba a su endpoint cada minuto
Entonces la API responde con HTTP 200 OK, confirmando que el servicio está disponible.","Dado que el chatbot no responde correctamente
Cuando el sistema de monitoreo obtiene una respuesta con error HTTP ≥ 500 o timeout
Entonces el incidente se registra en el log de disponibilidad y se emite una alerta al equipo técnico.","Dado que una verificación del estado del chatbot ha fallado
Cuando se detecta el error
Entonces el sistema realiza hasta 3 reintentos automáticos en intervalos de 60 segundos antes de marcar el servicio como inactivo.","Dado que el chatbot lleva más de 10 minutos inactivo
Cuando el monitoreo confirma inactividad sostenida
Entonces se notifica automáticamente al canal de soporte técnico con detalles del error, logs y timestamp del fallo.","Dado que ha transcurrido un mes de operación
Cuando se calcula el uptime del chatbot
Entonces debe cumplir con una disponibilidad mínima del 99.5% mensual, lo que equivale a no más de 216 minutos (3.6 horas) de inactividad al mes.","Dado que el chatbot presenta inactividad planificada o no planificada
Cuando se detecta el evento
Entonces se almacena en el log de chatbot_downtime con: timestamp inicio, timestamp fin, duración total y causa (manual/automática/error).","Dado que el uptime mensual del chatbot cae por debajo del 99.5%
Cuando se genera el reporte mensual de disponibilidad
Entonces se emite un email al administrador con el informe técnico, las ventanas de caída y acciones tomadas.","Dado que se ha programado una tarea de mantenimiento del chatbot
Cuando se registre en el sistema con al menos 24 horas de anticipación
Entonces se publica un aviso temporal en la UI del chatbot informando la ventana de indisponibilidad con fecha y hora estimada.","Dado que el chatbot está inactivo
Cuando un usuario intenta iniciar una conversación
Entonces se muestra un mensaje automático: ""El servicio de asistencia automática no está disponible en este momento. Por favor, intenta más tarde o contáctanos por WhatsApp o formulario.""",,,7,Do 
HU33,Gestión de pedidos,"Como cliente quiero recibir notificaciones automáticas (correo/WhatsApp) cuando el estado de mi pedido cambie a procesado, enviado o entregado para estar informado sin tener que consultar.","Dado que el pedido con orderId=123 cambia su estado a “Procesado” en la base de datos
Cuando el backend emite el evento notification:order_processed
Entonces el servicio de correo envía a user@example.com un email con asunto “Pedido 123 procesado” y cuerpo que incluye orderId, fecha y estado","Dado que el pedido 123 entra en estado “Procesado” y el usuario tiene número +57... registrado
Cuando el backend invoca el webhook de WhatsApp con payload { orderId:123, status:""Procesado"" }
Entonces la API de WhatsApp entrega al usuario un mensaje “Tu pedido 123 ha sido procesado”","Dado que el pedido 123 cambia su estado a “Enviado”
Cuando el backend emite notification:order_sent
Entonces el sistema envía a user@example.com un email con asunto “Pedido 123 enviado” y cuerpo con enlace de seguimiento","Dado que el pedido 123 está marcado como “Enviado” y hay un número de WhatsApp registrado
Cuando se invoca el servicio de mensajería con { orderId:123, status:""Enviado"" }
Entonces el usuario recibe WhatsApp “Tu pedido 123 ha salido para entrega”","Dado que el pedido 123 cambia su estado a “Entregado”
Cuando el backend emite notification:order_delivered
Entonces el sistema envía un email a user@example.com con asunto “Pedido 123 entregado” y cuerpo que invita a calificar el servicio

 ","Dado que el pedido 123 ha sido “Entregado” y el usuario configuró notificaciones via WhatsApp
Cuando se invoca el webhook de WhatsApp con { orderId:123, status:""Entregado"" }
Entonces el usuario recibe WhatsApp “Tu pedido 123 ha sido entregado. ¡Gracias por tu compra!”","Dado que el servicio de correo retorna error SMTP o código ≥ 500
Cuando se detecta el fallo en el envío
Entonces el sistema reintenta hasta 3 veces con backoff exponencial y, si persiste, registra { orderId, channel:""email"", error } en la tabla notification_errors","Dado que la API de WhatsApp devuelve error (4xx/5xx)
Cuando se intercepta la excepción o código de fallo
Entonces el servicio reintenta 2 veces y, si sigue fallando, guarda { orderId, channel:""whatsapp"", error } en notification_errors","Dado que cualquier notificación (email o WhatsApp) falla tras los reintentos
Cuando se registra una entrada en notification_errors
Entonces el sistema emite un evento notification:failure que envía un email al admin con detalles del fallo y orderId",,,3,Do 
HU34,Administración y Backoffice,"Como administrador quiero registrar auditorías de acciones críticas (login, cambios de estado, eliminaciones) para cumplir estándares de seguridad y trazabilidad.}","Dado que un usuario administrador ingresa credenciales válidas
Cuando se autentica correctamente y se genera un JWT
Entonces el backend registra una entrada en audit_log con { userId, action: ""LOGIN_SUCCESS"", timestamp, ip, userAgent }","Dado que un administrador intenta autenticarse con credenciales incorrectas
Cuando el backend detecta error de autenticación
Entonces se registra en audit_log con { action: ""LOGIN_FAILED"", emailIntentado, timestamp, ip, motivo: ""Credenciales inválidas"" }","Dado que un administrador modifica manualmente el estado de un pedido en el panel de gestión
Cuando se actualiza el estado mediante PATCH /api/pedidos/{id}
Entonces se registra en audit_log con { userId, action: ""UPDATE_ORDER_STATUS"", orderId, oldStatus, newStatus, timestamp }","Dado que un administrador elimina la cuenta de un cliente o usuario
Cuando se hace DELETE /api/users/{id}
Entonces se inserta un registro en audit_log con { adminId, action: ""DELETE_USER"", targetUserId, timestamp }","Dado que un proveedor es eliminado desde el módulo correspondiente
Cuando se ejecuta DELETE /api/proveedores/{id}
Entonces el backend registra { adminId, action: ""DELETE_SUPPLIER"", supplierId, timestamp } en audit_log","Dado que un administrador cambia su propio nombre, correo o contraseña
Cuando la UI envía PATCH /api/admins/{id}
Entonces se registra en audit_log con { userId, action: ""UPDATE_PROFILE"", camposModificados, timestamp }","Dado que ocurre una acción crítica (como login o eliminación)
Cuando el intento de inserción en audit_log falla (timeout, error de conexión, etc.)
Entonces el backend almacena el evento en una cola de retry (audit_fallback_queue) y emite una alerta técnica audit:failed_log para revisión manual","Dado que un request malintencionado intenta suplantar datos en el log
Cuando se recibe una petición con campos auditables forzados desde el frontend
Entonces el backend ignora valores no autorizados y valida internamente la integridad del log antes de registrar",,,,3,Do 
HU35,Rendimiento y Escalabilidad,Como propietario del negocio quiero que la plataforma soporte al menos 1 000 usuarios simultáneos con < 70 % de CPU en picos para garantizar escalabilidad en alta demanda.,"Dado que el entorno de staging está configurado para simular 1 000 conexiones simultáneas (HTTP/WebSocket)
Cuando se ejecuta el script de prueba que mantiene activas todas las conexiones durante 10 minutos
Entonces el monitor de recursos registra un uso de CPU promedio < 70 % en la instancia principal de la aplicación","Dado que la aplicación produce métricas de uso de CPU y número de conexiones
Cuando el sistema de monitoreo (Prometheus, Datadog, etc.) recolecta datos cada 15 s
Entonces las series platform_cpu_usage y active_connections se actualizan con etiquetas { instance, timestamp }","Dado que el uso de CPU supera el 70 % durante ≥ 2 minutos consecutivos con ≥ 1 000 conexiones
Cuando el sistema de alertas detecta ese umbral excedido
Entonces se dispara ALERT_PLATFORM_CPU_HIGH y se notifica al canal de DevOps con detalles del pico","Dado que la orquestación (Kubernetes, ECS, etc.) está habilitada para escalado automático
Cuando el uso de CPU permanece ≥ 70 % y las conexiones activas ≥ 1 000 durante 3 minutos
Entonces el orquestador lanza automáticamente nuevas réplicas hasta distribuir la carga","Dado que la plataforma alcanza + 1 200 conexiones antes del autoescalado efectivo
Cuando un nuevo cliente intenta conectarse (HTTP o WebSocket)
Entonces el servidor responde con HTTP 503 Service Unavailable o cierra la WS con código 1013 y mensaje “Servidor saturado, reintenta en unos segundos”","Dado que el servidor ha rechazado la conexión por saturación
Cuando el cliente recibe 503 o cierre WS 1013
Entonces muestra “Servicio temporalmente saturado. Intenta de nuevo en breve.” y reintenta conexión con backoff exponencial hasta 3 intentos","Dado que la plataforma escala (up/down) o rechaza conexiones
When ocurre la acción
Entonces se registra en scaling_events y connection_errors con { action:""scaleUp""|""scaleDown""|""rejectConnection"", replicasBefore, replicasAfter, timestamp, connectionCount }","Dado que ha transcurrido un mes calendario
Cuando se ejecuta el job de reporte de concurrencia (GET /api/monitoring/concurrency-sla?month=MM&year=YYYY)
Entonces se verifica que ≥ 95 % del tiempo mensual la plataforma soportó ≥ 1 000 conexiones con CPU < 70 %, y se genera el informe de cumplimiento","Dado que la plataforma no puede escalar más (límite de instancias alcanzado)
Cuando la CPU supera el 70 % y las conexiones siguen aumentando
Entonces el sistema aplica políticas de degradación (p. ej. deshabilitar funciones de baja prioridad) para mantener operativa la funcionalidad crítica y registra la acción en scaling_events",,,7,Do 
